          |ID        |$         |INTNUM    |REALNUM   |STRING    |(         |)         |[         |]         |{         |}         |;         |,         |=         |bool      |char      |int       |float     |double    |struct    |if        |else      |do        |while     |call      |function  |return    |true      |false     |+         |-         |*         |/         |%         |>         |>=        |<         |<=        |==        |!=        |&&        |||        |!         |&         ||         |^         |~         |S         |B         |relop     |
1         |          |          |          |          |          |s2        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s3        |s4        |          |          |          |          |          |          |          |          |          |          |          |          |          |s5        |          |          |          |          |          |6         |          |
2         |          |          |          |          |          |s11       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s12       |s13       |          |          |          |          |          |          |          |          |          |          |          |          |          |s14       |          |          |          |          |          |15        |          |
3         |          |r6        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |r6        |r6        |          |          |          |          |          |          |          |          |
4         |          |r7        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |r7        |r7        |          |          |          |          |          |          |          |          |
5         |          |          |          |          |          |s2        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s3        |s4        |          |          |          |          |          |          |          |          |          |          |          |          |          |s5        |          |          |          |          |          |10        |          |
6         |          |acc       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s8        |s9        |          |          |          |          |          |          |          |          |
7         |          |acc       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |
8         |          |          |          |          |          |s2        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s3        |s4        |          |          |          |          |          |          |          |          |          |          |          |          |          |s5        |          |          |          |          |          |17        |          |
9         |          |          |          |          |          |s2        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s3        |s4        |          |          |          |          |          |          |          |          |          |          |          |          |          |s5        |          |          |          |          |          |22        |          |
10        |          |r4        |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s8        |s9	r4     |          |          |          |          |          |          |          |          |
11        |          |          |          |          |          |s11       |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |s12       |s13       |          |          |          |          |          |          |          |          |          |          |          |          |          |s14       |          |          |          |          |          |16        |          |
